지주명,공시연도,공시유형,구분,제목,파일명,방식,다운로드성공,실패사유,목록크기,실제크기,크기차이,페이지수,텍스트추출,텍스트글자수,스캔본추정,목차항목수,본문발견섹션수,섹션출처,목차없음,표수,표셀수,쪽당표셀,표추출신뢰도,sha256,url,fetched_at
메리츠금융지주,2026,본공시,지배구조·보수체계 통합,2025년 지배구조 및 보수체계 연차보고서,메리츠금융지주_지배구조연차보고서_2026.pdf,GET,Y,,2445049,2445049,,220,Y,293540,N,172,161,목차,N,496,50474,229.4,보통,83bb54ffc25e1187018532d53940495fd39b9df6e4119eb6c31faae5ef631540,https://www.meritzgroup.com/commfiles/hld/attach/2026/20260311/202603111712088150009U.pdf,2026-09-22T02:36:57+0000
신한금융지주,,조직도,조직도,조직도 이미지,신한금융지주_조직도.png,GET,Y,,,100662,,,-,,,,,,N,,,,,a463e512a7a5128fadbcbe4ee0a54a659bcbb8d884a369943c8756795183f1ce,https://www.shinhangroup.com/resources/publish/kr/images/about/pc_og_chart.png,2026-09-22T02:36:26+0000
신한금융지주,2025,본공시,지배구조·보수체계 통합,신한금융지주회사 2024 지배구조 및 보수체계 연차보고서 공시,신한금융지주_지배구조연차보고서_2025.pdf,GET,Y,,5347257,5347257,,296,Y,969719,N,86,84,목차,N,193,3260,11.0,낮음(PDF가 문단 단위로 텍스트를 내놓아 칸이 갈리지 않음),3072f042f9a99d1fd3b9eae591b6dbbb6aadc43a7d22755a8b61b075eab70b97,https://www.shinhangroup.com/main/downloadAttach?attachNo=89c02dba8a00489786c9fbb6c301a0ee&seq=1,2026-09-22T02:36:29+0000
신한금융지주,2025,추가공시,지배구조·보수체계 통합,신한금융지주 2024 지배구조 및 보수체계 연차보고서 추가공시,신한금융지주_지배구조연차보고서_2025_추가공시.pdf,GET,Y,,5340770,5340770,,296,Y,969724,N,86,84,목차,N,193,3260,11.0,낮음(PDF가 문단 단위로 텍스트를 내놓아 칸이 갈리지 않음),a9c82492a1296742ff9f03eb7c8b34f2e0c5f99725078f9cad8ed0e988f76505,https://www.shinhangroup.com/main/downloadAttach?attachNo=7729d787f8314307b4af6eb88e3db129&seq=1,2026-09-22T02:36:33+0000
신한금융지주,2026,본공시,지배구조·보수체계 통합,신한금융지주회사 2025 지배구조 및 보수체계 연차보고서 공시,신한금융지주_지배구조연차보고서_2026.pdf,GET,Y,,5381005,5381005,,316,Y,1038608,N,90,88,목차,N,220,3662,11.6,낮음(PDF가 문단 단위로 텍스트를 내놓아 칸이 갈리지 않음),239f924252b0b185613c424cca9a5689e0850dc32498bdbb36c46e8e99891564,https://www.shinhangroup.com/main/downloadAttach?attachNo=55653e68caad4dffa2f2e55c8401e6cb&seq=1,2026-09-22T02:36:38+0000
신한금융지주,2026,추가공시,지배구조·보수체계 통합,신한금융지주 2025 지배구조 및 보수체계 연차보고서 추가공시,신한금융지주_지배구조연차보고서_2026_추가공시.pdf,GET,Y,,4857121,4857121,,316,Y,1860905,N,90,88,목차,N,26,815,2.6,낮음(PDF가 문단 단위로 텍스트를 내놓아 칸이 갈리지 않음),5a76634c35c4b927c9d9caa3acb04f73583c41ae7af54eede4e816fa8f995afa,https://www.shinhangroup.com/main/downloadAttach?attachNo=a59412ed0c2e4098be5da990f99f3a51&seq=1,2026-09-22T02:36:43+0000
우리금융지주,,조직도,조직도,조직도 이미지,우리금융지주_조직도_202602.png,GET,Y,,,60362,,,-,,,,,,N,,,,,41ad3264f5b1da85de5fa54cf13d3c4a74d28a7806557b899919ba9bc612be05,https://www.woorifg.com/common/images/organization_img_new.png,2026-09-22T02:47:43+0000
우리금융지주,2025,본공시,지배구조·보수체계 통합,2024 년도 지배구조 및 보상체계 연차보고서 공시,우리금융지주_지배구조연차보고서_2025.pdf,GET,Y,,3832437,3832437,,289,Y,453914,N,72,72,목차,N,942,72429,250.6,보통,e4cc9a46d82993fd56734a1cb576aeb97eb47d01e926b9366dcd7bbff26cf92d,https://www.woorifg.com/cmm/fms/FileDown.do?fileId=FILE_000000000003279&saveFileNm=202504160441575230.pdf&fileSeq=0,2026-09-22T02:47:47+0000
우리금융지주,2025,정정공시,지배구조·보수체계 통합,2024년도 지배구조 및 보상체계 연차보고서 정정 공시,우리금융지주_지배구조연차보고서_2025_정정공시.pdf,GET,Y,,3832655,3832655,,289,Y,453926,N,72,72,목차,N,941,72468,250.8,보통,d370788b167fb1fd2b1a9cc51eb7f6bf63b2d134dcaaf7dfb41eb363c0c5effd,https://www.woorifg.com/cmm/fms/FileDown.do?fileId=FILE_000000000003345&saveFileNm=202505270525057650.pdf&fileSeq=0,2026-09-22T02:48:25+0000
우리금융지주,2025,추가공시,지배구조·보수체계 통합,2024 년도 지배구조 및 보상체계 연차보고서 추가 공시,우리금융지주_지배구조연차보고서_2025_추가공시.pdf,GET,Y,,3831643,3831643,,289,Y,453561,N,72,72,목차,N,940,72440,250.7,보통,48634906b3e214ae5b8a02063090a773e55a0bc148befb861712d1d8a9ce74f5,https://www.woorifg.com/cmm/fms/FileDown.do?fileId=FILE_000000000003346&saveFileNm=202505270525389570.pdf&fileSeq=0,2026-09-22T02:48:06+0000
