corp_label,entity_type,group,corp_code,corp_name,bsns_year,reprt_code,reprt_nm,accounting_std_inferred,corp_cls,inference_rule,isu_dcrs_de,isu_dcrs_mstvdv_amount,isu_dcrs_mstvdv_fval_amount,isu_dcrs_qy,isu_dcrs_stle,isu_dcrs_stock_knd,stlm_dt,value_source,source_endpoint,source_params,rcept_no,rcept_no_source,fetched_at,status,call_id,raw_path,raw_sha256,data_age_days
신한지주,지주,지주,00382199,신한지주,2025,11012,반기보고서,IFRS17,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",2020.12.30,"32,261","5,000","72,719",-,보통주,2025-06-30,api,irdsSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00382199"", ""reprt_code"": ""11012""}",20250814002920,api_row,2026-08-31T15:34:32+09:00,000,run_20260831_152517_0232,raw/irdsSttus/00382199_2025_11012.json,fb3570a8e3582d72a3c775cc17a591321a123aa4653ede8c67fe6a7414c78e72,16
신한지주,지주,지주,00382199,신한지주,2025,11012,반기보고서,IFRS17,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",2022.04.25,-,"5,000","3,665,423",-,보통주,2025-06-30,api,irdsSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00382199"", ""reprt_code"": ""11012""}",20250814002920,api_row,2026-08-31T15:34:32+09:00,000,run_20260831_152517_0232,raw/irdsSttus/00382199_2025_11012.json,fb3570a8e3582d72a3c775cc17a591321a123aa4653ede8c67fe6a7414c78e72,16
신한지주,지주,지주,00382199,신한지주,2025,11012,반기보고서,IFRS17,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",2022.11.23,-,"5,000","4,149,262",-,보통주,2025-06-30,api,irdsSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00382199"", ""reprt_code"": ""11012""}",20250814002920,api_row,2026-08-31T15:34:32+09:00,000,run_20260831_152517_0232,raw/irdsSttus/00382199_2025_11012.json,fb3570a8e3582d72a3c775cc17a591321a123aa4653ede8c67fe6a7414c78e72,16
신한지주,지주,지주,00382199,신한지주,2025,11012,반기보고서,IFRS17,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",2023.03.28,-,"5,000","3,676,470",-,보통주,2025-06-30,api,irdsSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00382199"", ""reprt_code"": ""11012""}",20250814002920,api_row,2026-08-31T15:34:32+09:00,000,run_20260831_152517_0232,raw/irdsSttus/00382199_2025_11012.json,fb3570a8e3582d72a3c775cc17a591321a123aa4653ede8c67fe6a7414c78e72,16
신한지주,지주,지주,00382199,신한지주,2025,11012,반기보고서,IFRS17,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",2023.05.01,"-42,900","5,000","17,482,000",-,우선주,2025-06-30,api,irdsSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00382199"", ""reprt_code"": ""11012""}",20250814002920,api_row,2026-08-31T15:34:32+09:00,000,run_20260831_152517_0232,raw/irdsSttus/00382199_2025_11012.json,fb3570a8e3582d72a3c775cc17a591321a123aa4653ede8c67fe6a7414c78e72,16
신한지주,지주,지주,00382199,신한지주,2026,11012,반기보고서,IFRS17,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",2024.03.22,-,"5,000","3,366,257",-,보통주,2026-06-30,api,irdsSttus,"{""bsns_year"": ""2026"", ""corp_code"": ""00382199"", ""reprt_code"": ""11012""}",20260814003306,api_row,2026-08-31T15:35:03+09:00,000,run_20260831_152517_0241,raw/irdsSttus/00382199_2026_11012.json,d5dbeda32bcf7c05134acba2c4c4e1011b7cdb7acb1f54f36a708424f45c5142,16
신한지주,지주,지주,00382199,신한지주,2026,11012,반기보고서,IFRS17,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",2024.11.01,-,"5,000","5,947,889",-,보통주,2026-06-30,api,irdsSttus,"{""bsns_year"": ""2026"", ""corp_code"": ""00382199"", ""reprt_code"": ""11012""}",20260814003306,api_row,2026-08-31T15:35:03+09:00,000,run_20260831_152517_0241,raw/irdsSttus/00382199_2026_11012.json,d5dbeda32bcf7c05134acba2c4c4e1011b7cdb7acb1f54f36a708424f45c5142,16
신한지주,지주,지주,00382199,신한지주,2026,11012,반기보고서,IFRS17,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",2025.04.29,-,"5,000","7,603,260",-,보통주,2026-06-30,api,irdsSttus,"{""bsns_year"": ""2026"", ""corp_code"": ""00382199"", ""reprt_code"": ""11012""}",20260814003306,api_row,2026-08-31T15:35:03+09:00,000,run_20260831_152517_0241,raw/irdsSttus/00382199_2026_11012.json,d5dbeda32bcf7c05134acba2c4c4e1011b7cdb7acb1f54f36a708424f45c5142,16
신한지주,지주,지주,00382199,신한지주,2026,11012,반기보고서,IFRS17,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",2025.06.26,-,"5,000","10,347,131",-,보통주,2026-06-30,api,irdsSttus,"{""bsns_year"": ""2026"", ""corp_code"": ""00382199"", ""reprt_code"": ""11012""}",20260814003306,api_row,2026-08-31T15:35:03+09:00,000,run_20260831_152517_0241,raw/irdsSttus/00382199_2026_11012.json,d5dbeda32bcf7c05134acba2c4c4e1011b7cdb7acb1f54f36a708424f45c5142,16
신한지주,지주,지주,00382199,신한지주,2026,11012,반기보고서,IFRS17,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",2026.02.06,-,"5,000","10,840,573",-,보통주,2026-06-30,api,irdsSttus,"{""bsns_year"": ""2026"", ""corp_code"": ""00382199"", ""reprt_code"": ""11012""}",20260814003306,api_row,2026-08-31T15:35:03+09:00,000,run_20260831_152517_0241,raw/irdsSttus/00382199_2026_11012.json,d5dbeda32bcf7c05134acba2c4c4e1011b7cdb7acb1f54f36a708424f45c5142,16
